time_stamp	hand_count	l_hand_p(x,y,z)	r_hand_p(x,y,z)
2023-10-14 01:47:18.819	2	(-240.836823,219.080811,156.893433)	(83.695839,103.019463,-36.950817)
2023-10-14 01:47:18.830	2	(-247.044464,217.616028,158.954071)	(88.054611,103.625519,-38.661629)
2023-10-14 01:47:18.841	2	(-252.453094,215.744217,159.962875)	(92.513130,104.162399,-40.146362)
2023-10-14 01:47:18.852	2	(-256.940002,213.606522,161.510056)	(97.797920,104.886032,-41.611996)
2023-10-14 01:47:18.863	2	(-261.297424,210.873154,161.492966)	(102.962090,105.701256,-43.054771)
2023-10-14 01:47:18.874	2	(-266.746857,209.401306,163.210358)	(108.129166,106.045624,-44.868523)
2023-10-14 01:47:18.886	2	(-270.351440,206.558044,164.174057)	(113.302391,106.351379,-46.289127)
2023-10-14 01:47:18.897	2	(-273.325623,203.567032,164.315704)	(118.517975,106.730873,-47.498074)
2023-10-14 01:47:18.908	2	(-276.682922,201.585907,164.983765)	(123.240990,107.212463,-48.410801)
2023-10-14 01:47:18.919	2	(-280.142487,200.403397,165.340683)	(127.339874,107.749748,-49.444744)
2023-10-14 01:47:18.930	2	(-280.929352,197.293304,164.742218)	(130.374115,107.977737,-49.972748)
2023-10-14 01:47:18.941	2	(-282.420105,195.508423,163.817780)	(133.299484,108.263977,-50.288208)
2023-10-14 01:47:18.952	2	(-283.593018,194.183578,163.271439)	(135.958282,108.608582,-50.936466)
2023-10-14 01:47:18.964	2	(-283.380768,192.912033,162.200562)	(137.710144,108.983994,-50.886181)
2023-10-14 01:47:18.975	2	(-283.043610,190.916901,160.903900)	(139.427948,109.769073,-50.869858)
2023-10-14 01:47:18.986	2	(-282.772400,190.269653,160.217148)	(140.771194,110.448784,-50.969170)
2023-10-14 01:47:18.997	2	(-281.848663,188.583466,158.802185)	(141.684860,111.298935,-51.162064)
2023-10-14 01:47:19.008	2	(-280.569855,188.618439,157.887711)	(141.823853,112.509644,-50.720860)
2023-10-14 01:47:19.019	2	(-279.601807,188.484116,156.716934)	(140.827347,113.509796,-49.821888)
2023-10-14 01:47:19.030	2	(-278.096405,187.924774,156.245773)	(139.832458,114.883018,-49.759628)
2023-10-14 01:47:19.042	2	(-276.636292,188.675323,155.642685)	(137.602783,116.053589,-49.493702)
2023-10-14 01:47:19.053	2	(-274.329224,188.458557,155.073547)	(135.372238,117.307091,-49.090702)
2023-10-14 01:47:19.064	2	(-270.895172,188.677338,153.590073)	(132.503372,119.021156,-47.973618)
2023-10-14 01:47:19.075	2	(-266.792725,188.734146,151.221085)	(129.242508,119.939117,-47.180035)
2023-10-14 01:47:19.087	2	(-262.292969,188.945038,149.201157)	(125.876404,120.992050,-46.026829)
2023-10-14 01:47:19.097	2	(-257.941711,189.294693,147.400528)	(121.538399,121.228859,-44.927471)
2023-10-14 01:47:19.108	2	(-255.050354,190.132233,145.904190)	(117.294426,121.333687,-44.076221)
2023-10-14 01:47:19.120	2	(-251.082031,190.807114,144.933426)	(112.786491,121.504951,-42.703247)
2023-10-14 01:47:19.131	2	(-246.021454,191.348846,143.101883)	(108.235542,121.617096,-41.225159)
2023-10-14 01:47:19.142	2	(-240.794067,190.901047,140.508514)	(103.864235,121.920868,-40.219173)
2023-10-14 01:47:19.153	2	(-235.195633,191.363174,137.960632)	(99.826935,122.847794,-38.876118)
2023-10-14 01:47:19.165	2	(-231.636856,192.317825,136.142685)	(96.059532,123.915543,-38.237122)
2023-10-14 01:47:19.176	2	(-224.866913,191.493347,132.838913)	(92.674622,124.075226,-37.013882)
2023-10-14 01:47:19.187	2	(-219.341568,192.007095,129.440033)	(89.123436,122.774994,-35.906746)
2023-10-14 01:47:19.198	2	(-213.280975,191.583176,127.018173)	(84.653152,120.908836,-34.918068)
2023-10-14 01:47:19.209	2	(-206.393417,190.830231,123.786209)	(80.546997,118.806503,-34.125912)
2023-10-14 01:47:19.220	2	(-199.660706,190.628494,120.462837)	(76.444725,115.757317,-33.077095)
2023-10-14 01:47:19.231	2	(-193.888245,190.392059,118.157722)	(73.733643,113.540314,-31.071692)
2023-10-14 01:47:19.243	2	(-187.979416,191.213776,115.181099)	(70.056816,110.791443,-29.666094)
2023-10-14 01:47:19.254	2	(-181.944458,192.238007,112.492683)	(67.503235,109.163628,-28.099623)
2023-10-14 01:47:19.265	2	(-175.156097,192.384369,109.656662)	(64.810402,107.933395,-27.359375)
2023-10-14 01:47:19.276	2	(-168.727341,193.154831,107.369568)	(61.765957,106.526360,-26.408211)
2023-10-14 01:47:19.287	2	(-162.925629,194.331329,105.662971)	(58.000626,104.911072,-25.238297)
2023-10-14 01:47:19.298	2	(-157.606415,195.222076,104.367966)	(55.241776,104.137222,-24.417850)
2023-10-14 01:47:19.309	2	(-152.878494,196.205704,103.136841)	(52.720978,103.279808,-23.592564)
2023-10-14 01:47:19.321	2	(-147.860596,197.331024,102.574585)	(49.686790,101.331772,-22.620102)
2023-10-14 01:47:19.332	2	(-141.935822,197.943222,102.555862)	(47.021248,99.619331,-21.570316)
2023-10-14 01:47:19.343	2	(-137.668823,198.815872,103.109131)	(44.628292,98.497749,-20.638376)
2023-10-14 01:47:19.354	2	(-133.199478,199.286072,103.060730)	(42.361107,97.459579,-19.947927)
2023-10-14 01:47:19.366	2	(-127.848305,199.175446,102.009537)	(40.435318,96.522606,-19.303959)
2023-10-14 01:47:19.376	2	(-123.032112,198.607773,101.177834)	(38.440414,95.677399,-18.291935)
2023-10-14 01:47:19.387	2	(-117.382622,197.728943,99.492599)	(36.879620,94.788399,-16.903290)
2023-10-14 01:47:19.398	2	(-112.371689,197.878616,97.460449)	(34.769863,94.109825,-15.353065)
2023-10-14 01:47:19.410	2	(-107.508278,197.624527,95.292961)	(33.180573,93.658592,-14.332178)
2023-10-14 01:47:19.421	2	(-103.824615,197.512146,93.693802)	(32.123371,93.251328,-13.055480)
2023-10-14 01:47:19.432	2	(-100.756935,197.020340,91.664619)	(30.893326,93.029930,-11.526519)
2023-10-14 01:47:19.443	2	(-97.585464,195.400604,89.093216)	(29.819490,93.309250,-10.210023)
2023-10-14 01:47:19.455	2	(-94.751137,194.192215,85.905838)	(29.524797,93.326805,-8.701378)
2023-10-14 01:47:19.466	2	(-92.493050,193.193436,82.886520)	(28.615461,94.158699,-7.477772)
2023-10-14 01:47:19.477	2	(-90.062119,191.906784,79.677032)	(28.740301,95.433990,-5.887332)
2023-10-14 01:47:19.487	2	(-88.067879,189.875687,76.846794)	(28.598362,96.550438,-4.295791)
2023-10-14 01:47:19.499	2	(-85.943680,186.426239,72.953125)	(28.934298,99.326630,-3.194764)
2023-10-14 01:47:19.510	2	(-84.116188,183.576950,69.018608)	(30.157085,101.917542,-1.470340)
2023-10-14 01:47:19.521	2	(-82.706108,179.650360,64.438705)	(30.761391,105.176208,-0.018052)
2023-10-14 01:47:19.532	2	(-82.646896,174.662979,59.967678)	(31.193058,108.331215,1.208500)
2023-10-14 01:47:19.543	2	(-83.249062,171.538101,54.414463)	(33.052162,112.478683,2.419069)
2023-10-14 01:47:19.555	2	(-83.250282,168.753693,50.807346)	(34.420006,115.785019,4.066897)
2023-10-14 01:47:19.566	2	(-83.785629,165.384262,46.305859)	(35.959724,120.199585,5.653996)
2023-10-14 01:47:19.577	2	(-84.179268,161.141098,42.474571)	(37.989635,124.518311,6.440332)
2023-10-14 01:47:19.588	2	(-85.266449,157.916245,39.201965)	(40.297913,129.286148,7.344214)
